Record,New_Recap,BanderID,Band_Number,Species,SampleID,Colors Left Top/Bottom,Colors Right Top/Bottom,Date,Season,Day,Month,Year,OrdDay,Time,Wing,Tail,Tarsus,Fat_Score,BirdMass,BirdAge,How_Aged,Eye,Skull,PCRsex,PCRMorph,Field_Morph,Band_Location,P4_Yes_No,R6_Yes_No,Blood_Yes_No,Images_Yes_No,Spec_Data,P4GenType,P4gen,R6gen,R6GenType,age_r6,age_a1,age_a2,age_a3,Latitude,Longitude,County,State,Comments
20,N,SW,2831-20075,WTSP,W020,BW/YEL,GRN/A,6-Nov-20,20.21,6,11,2020,311,920,77,75,NA,0,25.9,AHY,X,NA,6,M,WS,NA,EMERALD,Y,N,Y,Y,N,1,B,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
21,N,SW,2831-20078,WTSP,W021,BW/YEL,WHT/A,7-Nov-20,20.21,7,11,2020,312,730,72,71,NA,3,24.9,HY,X,NA,6,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
22,N,SW,2831-20079,WTSP,W022,BW/YEL,BR/A,7-Nov-20,20.21,7,11,2020,312,840,69,65,NA,0,23.6,HY,X,NA,5,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
23,N,SW,2831-20081,WTSP,W023,BW/RED,RED/A,7-Nov-20,20.21,7,11,2020,312,940,75,76,NA,1,26.3,HY,X,NA,6,M,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
24,N,SW,2831-20082,WTSP,W024,BW/RED,YEL/A,7-Nov-20,20.21,7,11,2020,312,940,75,75,NA,2,25.5,AHY,X,NA,6,M,WS,NA,1616EAST,Y,N,Y,Y,N,1,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
25,N,SW,2831-20083,WTSP,W025,BW/RED,ORG/A,7-Nov-20,20.21,7,11,2020,312,940,70,68,NA,0,23.4,HY,X,NA,6,F,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
26,N,SW,2831-20084,WTSP,W026,BW/RED,DKB/A,10-Nov-20,20.21,10,11,2020,315,710,67,67,NA,0,22.2,HY,X,NA,4,F,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,initial Sex PCR incorrect; not sure why
27,N,SW,2831-20086,WTSP,W027,BW/RED,GRN/A,10-Nov-20,20.21,10,11,2020,315,800,78,x,NA,0,25.5,AHY,X,NA,6,M,WS,NA,1616EAST,Y,N,Y,Y,N,1,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
28,N,SW,2831-20087,WTSP,W028,BW/RED,WHT/A,10-Nov-20,20.21,10,11,2020,315,840,67,73,NA,0,23.2,HY,X,NA,4,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,initial Sex PCR incorrect; not sure why
29,N,SW,2831-20088,WTSP,W029,BW/RED,BR/A,10-Nov-20,20.21,10,11,2020,315,840,69,71,NA,1,24.1,HY,X,NA,4,F,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
30,N,SW,2831-20090,WTSP,W030,YEL/RW,RED/A,13-Nov-20,20.21,13,11,2020,318,820,72,72,NA,2,25.0,HY,X,NA,6,M,WS,NA,EMERALD,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
31,N,SW,2831-20092,WTSP,W031,YEL/RW,YEL/A,13-Nov-20,20.21,13,11,2020,318,1040,75,73,NA,2,28.0,HY,X,NA,5,M,WS,NA,EMERALD,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
32,N,SW,2831-20099,WTSP,W032,YEL/RW,ORG/A,20-Nov-20,20.21,20,11,2020,325,820,75,74,NA,0,24.0,HY,X,NA,6,M,WS,NA,EMERALD,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
33,N,SW,2831-20100,WTSP,W033,YEL/RW,DKB/A,20-Nov-20,20.21,20,11,2020,325,820,72,73,NA,0,27.0,HY,X,NA,6,M,TS,NA,EMERALD,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
34,N,SW,2831-20102,WTSP,W034,YEL/RW,GRN/A,20-Nov-20,20.21,20,11,2020,325,1050,75,75,NA,0,27.5,HY,X,dull,5,M,WS,NA,EMERALD,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
35,N,SW,2831-20103,WTSP,W035,YEL/RW,WHT/A,20-Nov-20,20.21,20,11,2020,325,1200,73,77,NA,0,26.0,HY,X,dull,5,M,TS,NA,EMERALD,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
36,N,SW,2831-20104,WTSP,W036,YEL/BW,RED/A,20-Nov-20,20.21,20,11,2020,325,1200,69,72,NA,2,27.0,AHY,X,medium,6,F,TS,NA,EMERALD,Y,N,Y,Y,N,1,B,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
37,N,SW,2831-20105,WTSP,W037,YEL/BW,YEL/A,20-Nov-20,20.21,20,11,2020,325,1200,74,75,NA,0,28.2,HY,X,dull,6,M,TS,NA,EMERALD,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
38,N,SW,2831-20106,WTSP,W038,YEL/BW,DKB/A,21-Nov-20,20.21,21,11,2020,326,700,75,75,NA,0,26.9,HY,X,medium,5,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
39,N,SW,2831-20107,WTSP,W039,YEL/BW,ORG/A,21-Nov-20,20.21,21,11,2020,326,730,68,71,NA,1,22.7,HY,X,dull,6,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
40,N,SW,2831-20108,WTSP,W040,YEL/BW,GRN/A,21-Nov-20,20.21,21,11,2020,326,730,75,76,NA,3,26.8,HY,X,medium,5,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
41,N,SW,2831-20109,WTSP,W041,YEL/BW,WHT/A,27-Nov-20,20.21,27,11,2020,332,1130,72,72,NA,2,27.1,AHY,X,rich,6,F,WS,NA,1616EAST,Y,N,Y,Y,N,1,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
42,N,SW,2831-20110,WTSP,W042,RW/DKB,DKB/A,27-Nov-20,20.21,27,11,2020,332,1130,73,71,NA,0,26.0,HY,X,dull,4,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,tail basic but fresh
