Record,New_Recap,BanderID,Band_Number,Species,SampleID,Colors Left Top/Bottom,Colors Right Top/Bottom,Date,Season,Day,Month,Year,OrdDay,Time,Wing,Tail,Tarsus,Fat_Score,BirdMass,BirdAge,How_Aged,Eye,Skull,PCRsex,PCRMorph,Field_Morph,Band_Location,P4_Yes_No,R6_Yes_No,Blood_Yes_No,Images_Yes_No,Spec_Data,P4GenType,P4gen,R6gen,R6GenType,age_r6,age_a1,age_a2,age_a3,Latitude,Longitude,County,State,Comments
84,N,SW,2831-20153,WTSP,W076,DKB/A,RW/YEL,22-Mar-21,20.21,22,3,2021,81,1010,73,75,NA,1,27.4,SY,X,medium,NA,M,TS,NA,EMERALD,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
85,N,SW,2831-20154,WTSP,W077,GRN/A,RW/YEL,22-Mar-21,20.21,22,3,2021,81,1020,74,72,NA,2,25.8,SY,X,dull,NA,M,TS,NA,EMERALD,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
86,R,SW,2831-20099,WTSP,W032,YEL/RW,ORG/A,24-Mar-21,20.21,24,3,2021,83,1030,74,74,NA,0,24.6,SY,X,dull,NA,M,WS,NA,EMERALD,Y,N,N,Y,N,2,B,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
87,N,SW,2831-20156,WTSP,W078,WHT/YEL,RW/A,24-Mar-21,20.21,24,3,2021,83,845,74,74,NA,0,29.2,SY,X,medium,NA,M,TS,NA,EMERALD,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
88,N,SW,2831-20157,WTSP,W079,WHT/A,RW/YEL,24-Mar-21,20.21,24,3,2021,83,900,72,73,NA,0,28.7,SY,X,medium,NA,M,WS,NA,EMERALD,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
89,N,SW,2831-20158,WTSP,W080,RED/A,RW/RED,24-Mar-21,20.21,24,3,2021,83,950,71,73,NA,2,25.4,SY,X,dull,NA,F,WS,NA,EMERALD,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
90,N,SW,2831-20159,WTSP,W081,YEL/A,RW/RED,24-Mar-21,20.21,24,3,2021,83,1020,74,74,NA,1,27.2,SY,X,dull,NA,M,TS,NA,EMERALD,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
91,R,SW,2831-20107,WTSP,W039,YEL/BW,ORG/A,28-Mar-21,20.21,28,3,2021,87,1100,70,73,NA,1,24.0,SY,X,medium,NA,F,TS,NA,1616EAST,Y,N,N,Y,N,2,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,TS; head molt
92,R,SW,2831-20110,WTSP,W042,RW/DKB,DKB/A,28-Mar-21,20.21,28,3,2021,87,930,74,70,NA,1,25.9,SY,X,medium,NA,M,WS,NA,1616EAST,Y,N,N,Y,N,2,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
93,R,SW,2831-20117,WTSP,W047,WL/RED,RED/A,28-Mar-21,20.21,28,3,2021,87,1100,72,74,NA,1,27.5,SY,X,medium,NA,M,WS,NA,1616EAST,Y,N,N,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,head molt
94,R,SW,2831-20122,WTSP,W052,WL/RED,BR/A,28-Mar-21,20.21,28,3,2021,87,930,72,71,NA,1,26.3,SY,X,dull,NA,F,WS,NA,1616EAST,Y,N,N,Y,N,2,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
95,N,SW,2831-20160,WTSP,W082,ORG/A,RW/RED,28-Mar-21,20.21,28,3,2021,87,930,69,72,NA,2,24.3,SY,X,dull,NA,F,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,check age initial capture - ASY?
96,N,SW,2831-20161,WTSP,W083,DKB/A,RW/RED,28-Mar-21,20.21,28,3,2021,87,930,69,70,NA,2,24.0,SY,X,dull,NA,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
97,N,SW,2831-20162,WTSP,W084,GRN/A,RW/RED,28-Mar-21,20.21,28,3,2021,87,1100,74,76,NA,2,27.7,SY,X,rich,NA,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,WS; head molt
98,N,SW,2831-20163,WTSP,W085,WHT/A,RW/RED,28-Mar-21,20.21,28,3,2021,87,1100,67,70,NA,2,25.7,SY,X,dull,NA,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,TS
99,N,SW,2831-20003,WTSP,W091,RW/RW,ORG/A,3-Apr-21,20.21,3,4,2021,93,1125,72,73,NA,1,26.0,ASY,X,medium,NA,F,TS,NA,1616EAST,Y,N,Y,Y,N,1,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,TS; orig. captured 16Mar20 - wasn't color-banding then
100,R,SW,2831-20121,WTSP,W051,WL/RED,WHT/A,3-Apr-21,20.21,3,4,2021,93,1140,75,70,NA,1,26.5,SY,X,NA,NA,M,TS,NA,1616EAST,Y,N,N,Y,N,2,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
101,R,SW,2831-20126,WTSP,W054,GRN/WR,YEL/A,3-Apr-21,20.21,3,4,2021,93,1110,72,72,NA,1,26.3,SY,X,dull,NA,M,TS,NA,1616EAST,Y,N,N,Y,N,2,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,wrong primary taken initially
102,R,SW,2831-20127,WTSP,W055,GRN/WR,ORG/A,3-Apr-21,20.21,3,4,2021,93,1110,68,70,NA,1,24.3,SY,X,medium,NA,F,WS,NA,1616EAST,Y,N,N,Y,N,2,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
103,N,SW,2831-20164,WTSP,W086,BR/A,RW/RED,3-Apr-21,20.21,3,4,2021,93,830,69,70,NA,1,24.4,SY,X,dull,NA,NA,NA,NA,1616EAST,Y,N,N,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,TS; head molt
104,N,SW,2831-20165,WTSP,W087,RED/A,BW/YEL,3-Apr-21,20.21,3,4,2021,93,910,68,70,NA,1,23.4,SY,X,medium,NA,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,TS
105,N,SW,2831-20166,WTSP,W088,YEL/A,BW/YEL,3-Apr-21,20.21,3,4,2021,93,910,74,72,NA,1,29.6,ASY,X,rich,NA,M,TS,NA,1616EAST,Y,N,Y,Y,N,1,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,TS; head molt
106,N,SW,2831-20167,WTSP,W089,ORG/A,BW/YEL,3-Apr-21,20.21,3,4,2021,93,910,71,74,NA,1,27.9,SY,X,medium,NA,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,WS
107,N,SW,2831-20168,WTSP,W090,DKB/A,BW/YEL,3-Apr-21,20.21,3,4,2021,93,1010,72,73,NA,2,28.3,SY,X,dull,NA,M,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
108,R,SW,2831-20125,WTSP,W053,GRN/WR,RED/A,4-Apr-21,20.21,4,4,2021,94,920,73,72,NA,0,26.2,SY,X,medium,NA,M,TS,NA,1616EAST,Y,N,N,Y,N,2,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,head molt
109,R,SW,2831-20135,WTSP,W062,ORG/WL,DKB/A,4-Apr-21,20.21,4,4,2021,94,1020,71,73,NA,0,26.3,SY,X,medium,NA,M,WS,NA,1616EAST,N,N,N,Y,N,2,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,WS; head molt
110,N,SW,2831-20169,WTSP,W092,GRN/A,BW/YEL,4-Apr-21,20.21,4,4,2021,94,840,75,75,NA,0,26.0,SY,X,medium,NA,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,WS; head molt
111,N,SW,2831-20170,WTSP,W093,WHT/A,BW/YEL,4-Apr-21,20.21,4,4,2021,94,920,65,70,NA,0,23.9,SY,X,dull,NA,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,TS; no head molt
112,N,SW,2831-20171,WTSP,W094,RED/A,BW/RED,4-Apr-21,20.21,4,4,2021,94,950,71,71,NA,0,26.6,SY,X,dull,NA,F,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,head molt
113,N,SW,2831-20172,WTSP,W095,YEL/A,BW/RED,4-Apr-21,20.21,4,4,2021,94,950,75,77,NA,0,28.4,SY,X,dull,NA,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,WS; head molt
114,R,SW,2831-20153,WTSP,W076,DKB/A,RW/YEL,7-Apr-21,20.21,7,4,2021,97,1320,NA,x,NA,2,29.5,,X,NA,NA,M,TS,NA,1616EAST,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,Rp4 2/3 grown
115,N,SW,2831-20173,WTSP,W096,ORG/A,BW/RED,7-Apr-21,20.21,7,4,2021,97,1400,75,76,NA,0,28.1,SY,X,medium,NA,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
116,N,SW,2831-20174,WTSP,W097,DKB/A,BW/RED,7-Apr-21,20.21,7,4,2021,97,1400,73,75,NA,1,NA,SY,X,NA,NA,M,TS,NA,1616EAST,Y,N,Y,?,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
117,R,SW,2831-20117,WTSP,W047,WL/RED,RED/A,9-Apr-21,20.21,9,4,2021,99,1730,74,75,NA,1,28.6,SY,X,medium,NA,M,WS,NA,1616EAST,Y,N,N,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,WS; head molt
118,N,SW,2831-20175,WTSP,W098,GRN/A,BW/RED,9-Apr-21,20.21,9,4,2021,99,1620,76,77,NA,0,27.9,ASY,X,rich,NA,M,TS,NA,1616EAST,Y,N,Y,Y,N,1,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,head molt
119,R,SW,2831-20119,WTSP,W049,WL/RED,ORG/A,1-May-21,20.21,1,5,2021,121,830,75,76,NA,5,37.0,SY,X,rich,NA,M,TS,NA,1616EAST,Y,N,N,Y,N,2,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
120,R,SW,2831-20120,WTSP,W050,WL/RED,GRN/A,1-May-21,20.21,1,5,2021,121,730,73,74,NA,5,33.8,SY,X,rich,NA,M,TS,NA,1616EAST,Y,N,N,Y,N,2,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
121,N,SW,2831-20176,WTSP,W099,WHT/A,BW/RED,1-May-21,20.21,1,5,2021,121,750,70,70,NA,1,23.4,SY,X,rich,NA,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
122,N,SW,2831-20177,WTSP,W100,BR/A,BW/RED,1-May-21,20.21,1,5,2021,121,750,77,77,NA,4,31.8,SY,X,medium,NA,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
123,N,SW,2831-20178,WTSP,W101,RED/A,YEL/RW,1-May-21,20.21,1,5,2021,121,750,71,72,NA,2,24.9,SY,X,medium,NA,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
124,N,SW,2831-20180,WTSP,W102,YEL/A,YEL/RW,1-May-21,20.21,1,5,2021,121,930,66,64,NA,4,26.7,SY,X,medium,NA,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,TS
125,N,SW,2831-20181,WTSP,W103,ORG/A,YEL/RW,1-May-21,20.21,1,5,2021,121,930,66,67,NA,4,25.7,ASY,X,dull,NA,F,TS,NA,1616EAST,Y,N,Y,Y,N,1,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,TS
126,R,SW,2831-20121,WTSP,W051,WL/RED,WHT/A,6-Nov-21,21.22,6,11,2021,310,910,73,72,NA,0,25.9,AHY,X,,NA,X,TS,NA,1616EAST,Y,N,N,Y,N,5,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
127,N,SW,2831-20189,WTSP,W104,DKB/A,YEL/RW,6-Nov-21,21.22,6,11,2021,310,840,72,72,NA,0,24.0,HY,X,,5,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
128,N,SW,2831-20190,WTSP,W105,GRN/A,YEL/RW,6-Nov-21,21.22,6,11,2021,310,1000,70,73,NA,0,22.7,HY,X,,4,F,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
129,N,SW,2831-20191,WTSP,W106,RED/A,YEL/BW,6-Nov-21,21.22,6,11,2021,310,1000,70,69,NA,0,22.5,HY,X,,5,F,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
130,N,SW,2831-20194,WTSP,W107,YEL/A,YEL/BW,9-Nov-21,21.22,9,11,2021,313,1155,73,76,NA,0,26.0,HY,X,medium,NA,M,TS,NA,EMERALD,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
131,R,SW,2831-20143,WTSP,W068,WL/WHT,YEL/A,13-Nov-21,21.22,13,11,2021,317,1400,73,77,NA,3,25.7,AHY,X,rich,NA,F,TS,TS,1616EAST,Y,N,Y,Y,N,5,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
132,N,SW,2831-20196,WTSP,W108,DKB/A,YEL/BW,13-Nov-21,21.22,13,11,2021,317,1130,68,72,NA,0,25.1,HY,X,dull,5,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
133,N,SW,2831-20197,WTSP,W109,GRN/A,YEL/BW,13-Nov-21,21.22,13,11,2021,317,1340,73,74,NA,1,26.8,HY,X,dull,5,M,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
134,N,SW,2831-20199,WTSP,W110,WHT/A,YEL/BW,14-Nov-21,21.22,14,11,2021,318,915,72,73,NA,3,26.5,AHY,X,medium,6,M,TS,NA,1616EAST,Y,N,Y,Y,N,1,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
135,N,SW,2771-10002,WTSP,W111,DKB/A,GY/DKB,20-Nov-21,21.22,20,11,2021,324,1130,75,74,NA,1,24.7,HY,X,dull,NA,F,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,"re-extracted, re-did sex PCR: confirm F. Possible measurement error (data sheet confirms recorded wing as 75)"
136,N,SW,2771-10003,WTSP,W112,DKB/A,GY/ORG,20-Nov-21,21.22,20,11,2021,324,1130,73,75,NA,1,23.6,HY,X,medium,5,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
137,N,SW,2771-10004,WTSP,W113,DKB/A,GY/WHT,20-Nov-21,21.22,20,11,2021,324,1215,75,75,NA,0,27.8,HY,X,dull,6,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,initial Sex PCR incorrect; not sure why
138,N,SW,2771-10005,WTSP,W114,DKB/A,GY/GRN,20-Nov-21,21.22,20,11,2021,324,1215,73,73,NA,4,23.8,HY,X,medium,5,M,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
139,R,SW,2831-20160,WTSP,W082,ORG/A,RW/RED,20-Nov-21,21.22,20,11,2021,324,1215,70,72,NA,0,23.4,AHY,X,medium,NA,F,WS,NA,1616EAST,Y,N,N,Y,N,5,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
140,R,SW,2831-20180,WTSP,W102,YEL/A,YEL/RW,20-Nov-21,21.22,20,11,2021,324,1215,69,67,NA,2,23.7,AHY,X,rich,NA,F,TS,NA,1616EAST,Y,N,N,Y,N,5,B,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
141,R,SW,2831-20191,WTSP,W106,RED/A,YEL/BW,20-Nov-21,21.22,20,11,2021,324,1215,NA,X,NA,NA,NA,X,X,NA,NA,F,WS,NA,1616EAST,N,N,N,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,from 06Nov21; p4 1/2 grown
142,N,NS,2771-10008,WTSP,W115,DKB/A,GY/YEL,24-Nov-21,21.22,24,11,2021,328,940,68,69,NA,1,25.0,HY,X,dull,NA,F,TS,NA,EMERALD,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
143,N,SW,2771-10012,WTSP,W116,RED/A,GY/RED,26-Nov-21,21.22,26,11,2021,330,1245,72,74,NA,2,25.9,HY,X,medium,NA,M,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,J,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
144,N,SW,2771-10013,WTSP,W117,YEL/A,GY/RED,26-Nov-21,21.22,26,11,2021,330,1330,74,70,NA,2,27.8,AHY,X,medium,6,M,TS,NA,1616EAST,Y,N,Y,Y,N,1,B,B,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
145,N,SW,2771-10014,WTSP,W118,ORG/A,GY/RED,26-Nov-21,21.22,26,11,2021,330,1500,72,74,NA,2,23.6,AHY,X,medium,6,F,WS,NA,1616EAST,Y,N,Y,Y,N,1,B,B,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
146,N,SW,2771-10015,WTSP,W119,DKB/A,GY/RED,27-Nov-21,21.22,27,11,2021,331,915,70,72,NA,1,23.6,HY,X,dull,5,F,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,J,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
147,N,SW,2771-10016,WTSP,W120,GRN/A,GY/RED,28-Nov-21,21.22,28,11,2021,332,1130,70,70,NA,1,23.0,HY,X,dull,NA,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,J,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
148,N,SW,2771-10017,WTSP,W121,WHT/A,GY/RED,28-Nov-21,21.22,28,11,2021,332,1130,71,X,NA,1,25.4,HY,X,dull,NA,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,J,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,tail mostly lost
149,N,SW,2771-10018,WTSP,W122,BR/A,GY/RED,28-Nov-21,21.22,28,11,2021,332,1130,73,74,NA,2,25.7,HY,X,dull,NA,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,J,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
150,N,SW,2771-10019,WTSP,W123,RED/A,ORG/GY,28-Nov-21,21.22,28,11,2021,332,1130,72,71,NA,2,25.8,HY,X,dull,NA,M,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,J,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
151,N,SW,2771-10020,WTSP,W124,YEL/A,ORG/GY,28-Nov-21,21.22,28,11,2021,332,1130,73,74,NA,0,26.4,HY,X,medium,NA,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,J,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
152,N,SW,2771-10021,WTSP,W125,ORG/A,ORG/GY,3-Dec-21,21.22,3,12,2021,337,935,68,68,NA,0,24.2,HY,X,dull,NA,F,WS,NA,EMERALD,Y,N,N,Y,N,0,J,J,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,"blood sample inadquate, see recapture"
153,R,SW,2831-20090,WTSP,W030,YEL/RW,RED/A,3-Dec-21,21.22,3,12,2021,337,935,74,75,NA,0,25.3,AHY,X,rich,NA,M,WS,NA,EMERALD,Y,N,N,Y,N,4,B,B,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
154,N,SW,2771-10022,WTSP,W126,DKB/A,ORG/GY,12-Dec-21,21.22,12,12,2021,346,1415,75,74,NA,2,27.6,HY,X,medium,NA,M,WS,WS,1616EAST,Y,N,Y,Y,N,0,J,B,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
155,N,SW,2771-10023,WTSP,W127,GRN/A,ORG/GY,12-Dec-21,21.22,12,12,2021,346,1445,71,73,NA,3,26.7,HY,X,dull,NA,F,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,J,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
156,N,SW,2771-10024,WTSP,W128,WHT/A,ORG/GY,12-Dec-21,21.22,12,12,2021,346,1445,73,72,NA,2,27.1,HY,X,dull,NA,M,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,J,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
157,R,SW,2771-10021,WTSP,W125,ORG/A,ORG/GY,14-Dec-21,21.22,14,12,2021,348,835,NA,X,NA,NA,NA,HY,X,medium,NA,F,WS,NA,EMERALD,Y,N,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
158,N,JA,2771-10025,WTSP,W129,DKB/A,GRN/GY,14-Dec-21,21.22,14,12,2021,348,835,71,71,NA,0,24.8,HY,X,dull,NA,F,WS,NA,EMERALD,Y,N,Y,Y,N,0,J,J,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
159,N,JA,2771-10027,WTSP,W130,RED/A,GRN/GY,14-Dec-21,21.22,14,12,2021,348,1130,76,78,NA,1,29.7,HY,X,dull,NA,M,WS,NA,EMERALD,Y,N,Y,Y,N,0,J,B,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
160,N,JA,2771-10028,WTSP,W131,YEL/A,GRN/GY,14-Dec-21,21.22,14,12,2021,348,1130,74,77,NA,T,27.5,HY,X,dull,NA,M,WS,NA,EMERALD,Y,N,Y,Y,N,0,J,J,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
161,N,SW,2771-10029,WTSP,W132,GRN/A,GRN/GY,21-Dec-21,21.22,21,12,2021,355,910,73,75,NA,0,25.2,HY,X,dull,NA,M,TS,NA,EMERALD,Y,N,Y,Y,N,0,J,J,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
162,N,SW,2771-10030,WTSP,W133,WHT/A,GRN/GY,21-Dec-21,21.22,21,12,2021,355,910,72,74,NA,0,27.2,AHY,X,dull,NA,M,TS,NA,EMERALD,Y,N,Y,Y,N,1,B,B,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
163,N,NS,2771-10034,WTSP,W134,ORG/A,GRN/GY,21-Dec-21,21.22,21,12,2021,355,1200,73,76,NA,4,28.6,HY,X,rich,NA,M,WS,NA,EMERALD,Y,N,Y,Y,N,0,J,B,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
164,N,JA,2771-10035,WTSP,W135,YG/A,RED/DKB,21-Feb-22,21.22,21,2,2022,52,930,68,67,NA,4,26.3,SY,X,medium,NA,F,TS,NA,EMERALD,Y,N,Y,Y,N,0,J,NA,NA,NA,NA,NA,NA,36.53908,-87.36114,Montgomery,TN,
165,N,SW,2771-10040,WTSP,W136,YG/A,RED/RED,10-Mar-22,21.22,10,3,2022,69,820,70,70,NA,3,25.8,SY,X,dull,NA,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,J,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
166,N,SW,2771-10041,WTSP,W137,YG/A,RED/YEL,10-Mar-22,21.22,10,3,2022,69,840,68,73,NA,1,24.2,SY,X,dull,NA,F,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,J,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
167,N,SW,2771-10042,WTSP,W138,YG/A,RED/WHT,10-Mar-22,21.22,10,3,2022,69,840,68,71,NA,3,24.5,SY,X,dull,NA,F,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,J,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
168,N,SW,2771-10043,WTSP,W139,YG/A,RED/ORG,10-Mar-22,21.22,10,3,2022,69,840,72,74,NA,1,25.4,ASY,X,medium,NA,M,WS,NA,1616EAST,Y,N,Y,Y,N,1,B,B,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
169,N,SW,2771-10044,WTSP,W140,YG/A,RED/YG,10-Mar-22,21.22,10,3,2022,69,840,72,74,NA,3,28.6,SY,X,dull,NA,M,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,J,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
170,N,SW,2771-10045,WTSP,W141,YG/YEL,RED/A,10-Mar-22,21.22,10,3,2022,69,840,72,73,NA,2,25.8,SY,X,dull,NA,M,TS,NA,1616EAST,Y,N,Y,Y,N,0,J,B,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
171,N,SW,2771-10046,WTSP,W142,YG/YEL,YEL/A,10-Mar-22,21.22,10,3,2022,69,1015,72,76,NA,3,25.8,SY,X,dull,NA,F,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,B,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,
172,N,SW,2771-10047,WTSP,W143,GY/YEL,ORG/A,10-Mar-22,21.22,10,3,2022,69,1015,70,74,NA,1,24.2,SY,X,dull,NA,F,WS,NA,1616EAST,Y,N,Y,Y,N,0,J,J,NA,NA,NA,NA,NA,36.51812,-87.31848,Montgomery,TN,note incorrect band application
